ABY,AIR ARABIA
ABZ,AIR AMBULANCE SERVICES LIMITED
ACA,AIR CANADA
ACB,AIR CONTINENTAL AFRICA
ACC,AIRSPEED CHARTER LTD.
ACD,"ACADEMY AIRLINES (GRIFFIN, GA)"
ACE,AVIATION ACES
ACF,CENTRO DE FORMACION AERONAUTICA DE CANARIAS
ACG,AOSAC - AIRLINE OPERATIONS SUPPORT AND AVIATION CONSULTANT
ACH,AFRICA'S CONNECTION STP
ACI,AIR CALEDONIE INTERNATIONAL
ACJ,"AC AVIATION CO., LTD"
ACK,"NANTUCKET AIRLINES (NANTUCKET, MA)"
ACL,"AERCARIBE, S.A."
ACM,AVIAC S.A. DE C.V. (AEREO VIAS CENTROAMERICANAS SOCIEDAD ANONIMA DE CAPITAL VARIABLE)
ACN,AZUL CONECTA LTDA
ACO,"AIR CHOICE ONE (ST. LOUIS, MO)"
ACP,ASTRAL AVIATION LIMITED
ACQ,ARYAN CARGO EXPRESS
ACR,"AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION"
ACS,AIRCRAFT SALES AND SERVICES (PVT) LTD
ACT,"FLIGHT LINE, INC. (DENVER, CO)"
ACU,AIR CARGO TRANSPORTATION SYSTEM LIMITED
ACV,"AIR CARNIVAL PVT. LIMITED (COIMBATORE, INDIA)"
ACW,"SERVICIOS AEREOS ACROSS, S.A. DE C.V."
ADA,"AIRSERVICES AUSTRALIA, FLIGHT INSPECTION UNIT"
ADB,ANTONOV COMPANY
ADC,AD ASTRA EXECUTIVE CHARTER SP.Z.O.O.
ADD,"ADVANCED AIR CO., LTD"
ADF,"ADEFA, S.A."
ADG,"AEREA FLYING TRAINING ORGANIZATION, S.A."
ADI,AUDELI AIR EXPRESS
ADJ,"ALADDIN JET CO., LTD"
ADK,AVIATION DEVELOPMENT COMPANY NIGERIA LIMITED
ADL,AERO DYNAMICS
ADM,AIR DREAM COLLEGE
ADN,"AERODIENST GMBH & CO. KG, NUERNBERG"
ADO,"AIRDO CO., LTD"
ADP,"AERODIPLOMATIC, S.A. DE C.V."
ADR,ADRIA AIRWAYS
ADS,ANDERSON AIR LTD.
ADT,"ARRENDAMIENTOS Y TRANSPORTES TURISTICOS, S.A. DE C.V."
ADV,ADVANCED FLIGHT TRAINING LTD
ADY,AIR ARABIA ABU DHABI
ADZ,COMPASS CARGO AIRLINES
AEA,AIR EUROPA
AEB,AVION EXPRESS BRASIL
AEC,"AEROSERVICIOS DE ALMERIA 2000, S.L."
AED,EADS CASA
AEE,AEGEAN AIRLINES
AEF,AEREA
AEG,AIREST
AEH,"AERO4M, D.O.O."
AEI,AIR POLAND SP. Z.O.O.
AEJ,AEROJET EXECUTIVE
AEK,AEROCON LTDA.
AEL,AEGLE AVIATION (ARUBA) N.V.
AEM,AERO MADRID
AEN,AIREON CANADA LTD.
AEO,AERO GUERNSEY LTD
AEP,AEROTEC
AER,"ALASKA CENTRAL EXPRESS, INC. (FAIRBANKS, AK)"
AES,AEROSPACE ENGINEERING SERVICES
AET,AERONAUTICAL RADIO OF THAILAND LTD
AEV,"AEROVENTAS, S.A."
AEW,AEGEAN EXECUTIVE S.A.
AEX,AEROHELIX S. DE R.L. DE C.V.
AEY,AEROSERVICIOS CENTROAMERICANOS S. DE R.L.
AEZ,AEROITALIA SRL
AFA,ALFA AIR
AFB,BULGARIAN AIR FORCE
AFC,AERORUTAS DEL SUR C.A.
AFD,AIRFUTURES LIMITED
AFE,"AIRFAST INDONESIA, PT."
AFF,AF-AVIATION LTD
AFG,ARIANA AFGHAN AIRLINES
AFH,AIR AFGHANISTAN INTERNATIONAL
AFI,AFRICAONE
AFJ,ALLIANCE
AFL,AEROFLOT - RUSSIAN AIRLINES
AFM,AEROSPEED FORMATION ET MAINTENANCE
AFN,ATLANTSFLUG LTD.
AFP,PORTUGUESE AIR FORCE
AFQ,ALBA SERVIZI AEROTRASPORTI SPA
AFR,AIR FRANCE
AFS,AIR DATA LTD
AFV,AVFINITY
AFW,AFRICA WORLD AIRLINES LIMITED
AFX,AIRFREIGHT EXPRESS LIMITED
AFY,AFRICA CHARTERED SERVICES
AFZ,ATLANTIC FLIGHT TRAINING ACADEMY
AGB,AIR-SERVICE-GABON
AGD,"AGRICOLAIR, S.L."
AGE,AEROMANAGE
AGF,AIR GEORGIA
AGH,ALTAGNA
AGM,"AVIATION WEST CHARTERS (SCOTTSDALE, AZ)"
AGN,COMPAGNIE NATIONALE AIR GABON
AGO,AAC-ANGOLA AIR CHARTER LIMITED
AGP,AERFI GROUP PLC
AGR,ASL BV
AGS,"AOT GROUND AVIATION SERVICES CO., LTD."
AGT,AMADEUS GLOBAL TRAVEL DISTRIBUTION S.A.
AGU,ANGARA AIRLINES JSC
AGV,AIR GLACIERS SA
AGY,AIR GO EGYPT
AHB,AIR ALBORAN S.L.
AHD,CZECH AIR HANDLING
AHE,AIRPORT HELICOPTER AHB AG
AHF,"ASPEN HELICOPTERS, INC. (OXNARD, CA)"
AHH,AIRPLANES HOLDINGS LTD
AHI,"SERVICIOS AEREOS DE CHIHUAHUA AEROCHISA, S.A. DE C.V."
AHJ,"AVIONES Y HELICOPTEROS EJECUTIVOS, S.A. DE C.V."
AHK,AHK AIR HONG KONG LIMITED
AHL,"AEROLINEAS HIDALGO, S.A. DE C.V."
AHM,"ATLANTIS HELICOPTERS DE MEXICO, S.A. DE C.V."
AHN,AVIA GROUP HANDLING LLC
AHS,AHS AIR INTERNATIONAL (PVT) LTD
AHT,"HTA HELICOPTEROS, LDA"
AHU,ABC AIR HUNGARY LTD
AHW,SKY CAPITAL AIRLINES LTD.
AHX,"AMAKUSA AIRLINES CO., LTD"
AHY,"AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE"
AIA,AMELIA
AIB,AIRBUS INDUSTRIE
AIC,AIR INDIA LIMITED
AIE,AIR INUIT LTD
AIF,AIM AVIATION
AIG,AIR INTER GABON
AIH,AIR INCHEON CO. LTD
AIJ,"ABC AEROLINEAS, S.A. DE C.V."
AIK,AFRICAN AIRLINES INTERNATIONAL LIMITED
AIM,TRABAJOS AEREOS MURCIANOS S.L.
AIN,AFRICAN INTERNATIONAL AIRWAYS (PTY) LTD
AIO,"CHIEF OF STAFF, UNITED STATES AIR FORCE (ANDREWS AFB, MD)"
AIP,"ALPINE AVIATION, INC. (PROVO, UT)"
AIQ,"THAI AIR ASIA CO., LTD"
AIR,AIRLIFT INTERNATIONAL INC.
AIS,AIR SURESTE
AIT,AIR TAURUS LLC
AIU,AIR SEGURA S.L.
AIW,AEROHELI INTERNATIONAL GMBH & CO KG
AIZ,ARKIA ISRAEL INLAND AIRLINES
AJA,AFGHAN JET INTERNATIONAL AIRLINES
AJB,AMERICAN JET S.A.
AJC,"BAR HARBOR AIRLINES (BANGOR, ME)"
AJD,ASTONJET LIMITED
AJE,"AERO JET EXPRESS, S.A. DE C.V."
AJG,ATLANTIC JETS
AJH,AEROALJARAFE S.L.
AJI,"AMERISTAR JET CHARTER, INC. (DALLAS, TX)"
AJJ,AVCON JET AFRICA (PTY) LTD.
AJK,ALLIED AIR LIMITED
AJM,AIR JAMAICA
AJN,"AUTOMOTRIZ BAJA NORTE, S.A. DE C.V."
AJO,AV8JET CHARTER
AJP,ANAP BUSINESS JETS LIMITED
AJQ,"AEROTECNICA JET SERVICES, INC."
AJR,A-JET AVIATION CO. LTD
AJS,"AEROEJECUTIVOS, AEROSERVICIOS EJECUTIVOS"
AJT,"AMERIJET INTERNATIONAL (FT.LAUDERDALE, FL)"
AJU,AIR JETSUL
AJV,"ADVANCE AVIATION JET CO., LTD"
AJW,"ALPHA JET INTERNATIONAL (SHEFFIELD, AL)"
AJX,"AIR JAPAN CO., LTD"
AJY,AJWAA AIRLINES
AJZ,ANGLO AMERICAN SOUTH AFRICA LIMITED
AKA,AIR KOREA CO. LTD.
AKC,"ASIALINK CARGO EXPRESS, PT."
AKE,AIR LINK EXECUTIVE SERVICES (ALES)
AKF,AERO ASAHI CORPORATION
AKG,84 SQN RAF AKROTIRI
AKH,AKHAL
AKI,"IBK-PETRA, SUDAN"
AKJ,AKASA AIR
AKK,SUNDT AIR MANAGEMENT
AKL,AIR KIRIBATI LIMITED
AKN,ALKAN AIR LTD.
AKP,ASKARI AIR PAKISTAN
AKQ,AEROSPACE CONSORTIUM LTD
AKS,AIRWORKS KENYA LIMITED
AKT,BRADLEY AIR SERVICES LIMITED D/B/A CANADIAN NORTH
AKU,ALKEBULAN AIRLINES
AKV,AIRVAN KENYA LIMITED
AKW,ANGKOR AIRWAYS
AKX,"ANA WINGS CO., LTD"
AKY,YAK-SERVICE
ALB,AERO ALBATROS
ALC,"SOUTHERN JERSEY AIRWAYS, INC. (ATLANTIC CITY, NJ)"
ALD,AIR LEISURE
ALE,ALLIANCE EXECUTIVE JETS LTD.
ALF,ALLIED COMMAND EUROPE (MOBILE FORCE)
ALG,AVIATION LOGISTIC SERVICES LIMITED COMPANY
ALI,AIRLIFT AS
ALJ,ALVARO GARCIA GONZALEZ DE AGUILAR
ALK,SRILANKAN AIRLINES
ALL,AIR ARABIA FOR AIR TRANSPORT
ALM,ALFA AIR
ALN,ALKAN AIR
ALO,"PENNSYLVANIA COMMUTER AIRLINES, INC. (MIDDLETOWN, PA)"
ALP,"ALLPOINTS JET CO., LTD"
ALR,ALBORZ AIR
ALS,ALAS DEL SUR
ALT,"AEROLINEAS CENTRALES, S.A. DE C.V."
ALU,AIR LUXOR STP
ALV,AEROPOSTAL ALAS DE VENEZUELA
ALW,AIRCRAFT LEASING SERVICES LIMITED
ALX,ALPI JETS GMBH
ALZ,AZURE AVIATION LTD
AMA,AIRCOMPANY MOALEM AVIATION
AMB,"DRF - STIFTUNG LUFTRETTUNG GEMEINNUETZIGE AG, FILDERSTADT"
AMC,AIR MALTA PLC.
AMD,SA RED CROSS AIR MERCY SERVICE
AME,AERONAVE MILITAR ESPANOLA. MINISTERIO DE DEFENSA
AMF,"AMERIFLIGHT, INC. (BURBANK, CA)"
AMG,AIR MINAS LINHAS AEREAS LTDA.
AMH,AIR MACRAN
AMI,"AIR AMERICA, INC. (CAROLINA, PR)"
AMJ,AMJET EXECUTIVE S.A.
AMK,AMAC CORPORATE JET AG
AML,AIR MALAWI
AMM,MET EXPRESS AIR CORP.
AMN,AIR MONTENEGRO
AMO,ANGEL MARTINEZ RIDAO (SAETA)
AMP,AERO TRANSPORTE S.A. (ATSA)
AMQ,AMC AVIATION SP. Z O. O.
AMR,"AIR SPECIALTIES CORPORATION D/B/A/ AIR AMERICA/TOTAL AIR (LOS ANGELES, CA)"
AMS,AMERICA DO SUL TAXI AEREO LTDA.
AMT,AIR MOUNTAIN
AMU,AIR MACAU
AMV,AIRCRAFT MAINTENANCE COMPANY (AMC AIRLINES)
AMW,ARMENIA AIRWAYS AIR COMPANY
AMX,"AEROVIAS DE MEXICO, S.A. DE C.V."
AMY,AIR MANDALAY LIMITED
AMZ,AMIYI AIRLINE LIMITED
ANA,"ALL NIPPON AIRWAYS CO., LTD."
ANB,AIR NAVIGATION AND TRADING CO. LTD.
ANC,AVIAN LINEAS AEREAS S.A. - AVIANCA ARGENTINA
AND,SERVICIOS AEREOS DE LOS ANDES S.A.C.
ANE,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A."
ANG,AIR NIUGINI
ANI,AIR ATLANTIC (NIG) LIMITED
ANJ,ALLEGIANCE AIR (PTY) LTD
ANK,AERO NOMAD AIRLINES LLC
ANL,NACOIA LDA
ANM,"AEROTRANSPORTACION DE NORTEAMERICA, S.A. DE C.V."
ANO,"CAPITEQ LIMITED, TRADING AS AIR NORTH REGIONAL"
ANP,AIR NIGERIA DEVELOPMENT LIMITED
ANQ,AEROLINEA DE ANTIOQUIA S.A. (ADA)
ANR,"YANAIR, AVIACOMPANY LTD"
ANS,"ANDES LINEAS AEREAS, S.A."
ANT,AIR NORTH CHARTER
ANU,ANDALUS
ANV,NESTOIL LIMITED
ANW,FLY ME (PTY) LTD
ANX,SECRETARIA DE MARINA
ANZ,AIR NEW ZEALAND LTD
AOA,AIR OCEAN AIRLINES LLC
AOB,"AEROCARIBE CORO, C.A."
AOC,TITANFLY INTERNATIONAL
AOD,AERO VODOCHODY
AOF,ATAIR PTY LTD
AOJ,AVCON JET AG
AOK,AIRCRAFT AVIATION SERVICES
AOM,AIR OCEAN MAROC
AON,AERO ENTREPRISE
AOO,TREBET AVIATION LTD
AOR,AFRO INTERNATIONAL ENT. LIMITED
AOS,AEROS LTD (T/A AEROS FLIGHT TRAINING)
AOU,AIR TRACTOR D.O.O.
AOV,AERO VISION
APA,"APOYO LOGISTICO AEREO, S.A. DE C.V."
APB,"TRATAMIENTOS AGRICOLAS AEREOS PERAN, S.L."
APC,"AIRPAC (SEATTLE, WA)"
APD,AVIATIONERS PAKISTAN
APE,"PARCEL EXPRESS (DENVER, CO)"
APF,AMAPOLA FLYG AB
APG,PHILIPPINES AIRASIA INC.
APH,"ALPHA AVIATION, INC. (DALLAS, TX)"
API,"ASA PESADA, LDA."
APJ,PEACH AVIATION LIMITED
APK,AIR PEACE LIMITED
APL,"CORPORATIVO AEREO PRINCIPAL, S.A. DE C.V."
APM,AEROPOLE OY
APN,ALPINE AIRLINES
APP,ALPAVIA D.O.O.
APR,"AEROLINEAS PRIMORDIALES, S A DE C.V."
APS,"AEROPARADISE, S.A. DE C.V."
APU,TRANSPORTE AEREO EXPRESO MOCHE S.A.C.
APV,AIR PHILIP
APW,"ALPHA THREE AVIATION, INC"
APX,NALJETS LTD
APY,"AEROPAPA, S.L."
APZ,AIR PREMIA
AQA,AEROATLAS S.A.
AQL,ALTAIR AIRLINES
AQQ,APSARA INTERNATIONAL AIR
AQS,AIRSTREAM
AQU,AIRQUARIUS AVIATION
ARA,ARIK AIR LTD
ARB,AIRBAHN
ARC,AIR ROUTING INTERNATIONAL LP
ARD,"AEROANDINAS, C.A."
ARE,AIRES S.A. (AEROVIAS DE INTEGRACION REGIONAL S.A.) D/B/A LAN COLOMBIA AIRLINES S.A. D/B/A LAN COLOMBIA AIRLINES
ARF,ANIMAL RESCUE FLIGHTS
ARG,AEROLINEAS ARGENTINAS
ARH,"AEROHELICOPTEROS, C.A."
ARI,"AERO VICS, S.A. DE C.V."
ARK,AERO LINK AIR SERVICES S.L.
ARL,AIRLEC AIR ESPACE
ARM,MEGAVIATION
ARN,AERONEXUS CORPORATE PTY LTD
ARO,"ACERO TAXI, S.A. DE C.V."
ARP,AERO CORPORATE
ARQ,AIRCO AIRCRAFT CHARTERS LTD
ARR,AVALAIR AIRCRAFT MANAGEMENT LLC
ARS,AEROMET SERVICIOS LTDA.
ART,SMART LYNX AIRLINES LTD
ARU,ARUBA AIRLINES
ARV,ARAVCO LTD.
ARW,AIRWAYS INTERNATIONAL LIMITED
ARX,"AIR XPRESS, INC, (GREENSBORO, NC)"
ARY,ATC CJSC
ARZ,AIRBORNE IMAGING
ASA,ALASKA AIRLINES INC.
ASB,AIR-SPRAY 1967 LTD.
ASC,AIR SERVICE MANAGEMENT
ASD,AIR SPHINX
ASE,"SERVICIOS DE AVIACION ASERTEC, S.A. DE C.V."
ASF,AUSTRIAN AIR FORCE
ASG,AIR SPEED CHARTER (PVT) LTD
ASH,"MESA AVIATION SERVICES, INC. (FARMINGTON, NM)"
ASI,"AEROGUARD FLIGHT TRAINING CENTER (PHOENIX, AZ)"
ASJ,ASTONJET
ASK,AERO SKY S.L.
ASL,AIR SERBIA
ASM,AWESOME FLIGHT SERVICES (PTY) LTD
ASN,RS SERVICIOS DE TELEDETECCION
ASO,AEROSUL TAXI AEREO LTDA
ASP,AIRSPRINT INC.
ASQ,EXPRESSJET AIRLINES
ASR,AERO SOTRAVIA
AST,THAI SUMMER AIRWAYS COMPANY LIMITED
ASV,AIR SEOUL
ASW,ASIA AIRWAYS
ASX,AIR SPECIAL
ASY,ROYAL AUSTRALIAN AIR FORCE
ASZ,"ASCENSION AIR MANAGEMENT, INC. (ATLANTA, GA)"
ATA,"AIR TRANSPORT ASSOCIATION OF AMERICA (WASHINGTON, DC)"
ATB,AIRLINE TRANSPORT INCORPORATION
ATC,AIR TANZANIA
ATD,REAL AEROCLUB DE TOLEDO
ATE,ALATHEER AVIATION
ATF,COMPANIA AEROTECNICAS FOTOGRAFICAS
ATG,AEROTRANSCARGO
ATH,AIRCRAFT SYSTEMS SOUTH AFRICA
ATI,ART AVIA
ATK,AEROTAXI CASANARE LTDA.
ATL,"ATLAS AIR SERVICE AG, GANDERKESEE"
ATM,AIRLINES OF TASMANIA T/A PAR AVION
ATN,"AIR TRANSPORT INTERNATIONAL (LITTLE ROCK, AR)"
ATO,ATM INFOMATION SERVICE JAPAN
ATP,"SERVICIOS AEREOS DEL ALTIPLANO, S.A. DE C.V."
ATQ,CHC HELICOPTERS NIGERIA LIMITED
ATR,ATRAK AIRLINES
ATS,ATLAS KHOMEIN KISH
ATT,AIR TASHKENT
ATU,AEROTOURS
ATV,"AVANTI AIR GMBH & CO. KG, BURBACH"
ATW,AIR ANTWERP
ATX,AIRSWIFT TRANSPORT INC.
ATY,AIRTRAFFIC LIMITED
ATZ,ACE AIR
AUA,AUSTRIAN AIRLINES (AUA) AG
AUD,"TRANS NORTHERN AIRWAYS, LLC"
AUE,UNIVERSAL AVIATION ACADEMY
AUG,GEORGIAN AVIATION UNIVERSITY
AUH,PRESIDENTIAL FLIGHT
AUI,UKRAINE INTERNATIONAL AIRLINES
AUK,AURIC AIR SERVICES LTD
AUL,"SMARTAVIA AIRLINES, JOINT STOCK COMPANY"
AUN,COMMON SKY A & N LUFTFAHRT GMBH
AUP,AVIA BUSINESS GROUP
AUR,AURIGNY AIR SERVICES LTD.
AUT,CIELOS DEL SUR S.A. - AUSTRAL
AUU,AURORA FLIGHT SCIENCES
AUV,ASIA UNION AIRLINES JV LLC
AUX,AIR UGANDA INTERNATIONAL LTD
AVA,AEROVIAS DEL CONTINENTE AMERICANO S.A.
AVB,AVIATION BEAUPORT LTD.
AVC,AVIOOTRIAD VARNA LTD
AVD,ALAMO AVIACION S.L.
AVE,AVEX AIR TRANSPORT (PTY) LTD T/A AVEX AIR
AVF,"AVES FLIGHT SHARE, S.A. DE C.V."
AVH,AV8 HELICOPTERS LTD
AVI,"AVIACION AGRICOLA DE LEVANTE, S.A."
AVJ,AVIA TRAFFIC COMPANY
AVK,AV8 HELICOPTERS
AVL,"AVIATION ADVENTURES (MANASSAS, VA)"
AVM,"AVEMEX, S.A. DE C.V."
AVN,AIR VANUATU
AVO,AVIATION AT WORK PTY LTD
AVP,"AVIACION CORPORATIVA DE PUEBLA, S.A. DE C.V."
AVQ,AVIC - INTERNATIONAL FLIGHT TRAINING ACADEMY (AIFA)
AVR,REGIONAL EXPRESS AMERICAS SAS - AVIANCA EXPRESS
AVS,"AVIALSA T-35, S.L."
AVT,AVIATRADE BUSINESS
AVU,"AVISPAIR, S.L."
AVV,AVIATOR AVIATION
AVW,AVIRO AIR
AVX,AEROCLUB DE VITORIA
AVY,"AEROVARADERO, S.A."
AVZ,"AIR VALENCIA, S.L."
AWA,ASTRA AIRWAYS LIMITED (TRADEMARK 'AIR ASTRA')
AWC,TITAN AIRWAYS LTD
AWD,PROVIDENCE AVIATION SERVICES (PVT) LIMITED
AWF,"AEROFORWARD, LLC (LAS VEGAS, NV)"
AWG,ANIMA WINGS AVIATION S.A.
AWH,AEROWEST GMBH
AWI,"AIR WISCONSIN AIRLINES CORPORATION (APPLETON, WI)"
AWJ,SAHEL AIRLINES
AWK,AIRWORK HOLDINGS LIMITED
AWM,ASIAN WINGS AIRWAYS LTD
AWN,AIR NIAMEY S.A.
AWP,AEROWORLD PAKISTAN PRIVATE LTD
AWQ,"INDONESIA AIRASIA, PT."
AWS,ARAB WINGS COMPANY
AWT,ALBAWINGS
AWU,"SYLT AIR GMBH, SYLT-OST"
AWW,AWA AIRWAYS
AWX,CAA DIRECTORATE OF AIRSPACE POLICY (IFP)
AWY,AIRWAYS AVIATION ACADEMY LTD
AWZ,AIRWEST
AXA,RP AIRCRAFT MANAGEMENT GMBH
AXB,AIR INDIA EXPRESS
AXC,INDOCHINA AIRLINES JOINT STOCK COMPANY
AXD,AIR EXPRESS
AXE,"AIREXPLORE, S.R.O."
AXG,AIR X CHARTER GERMANY GMBH
AXH,"SERVICIOS AEREOS A&H, C.A."
AXJ,ALEXJETS SAN MARINO S.R.L
AXK,AFRICAN EXPRESS AIRWAYS
AXL,ANGUILLA AIR SERVICES LTD
AXM,AIRASIA SDN BHD
AXN,ASCEND AIRWAYS MALAYSIA
AXP,"AEROMAX, S.L."
AXQ,ACTION AIRLINES (ACTION AIR CHARTER)
AXR,ARCHER AIR LLC
AXS,AXIS AVIATION SAN MARINO S.R.L.
AXT,"AX TRANSPORTER, S.A. DE C.V."
AXV,AVA AIRLINES
AXY,AIR X CHARTER
AYA,"FEDERAL AVIATION ADMINISTRATION (FAA) ACADEMY (OKLAHOMA CITY, OK)"
AYC,AYA AVIATION
AYE,"YUNNAN YINGAN AIRLINES CO., LTD"
AYH,AVIOANDES S.A.
AYJ,ZEMAN NEXTGEN
AYL,ALPINE AIR PRIVATE LIMITED
AYM,"AIRMAN, S.L."
AYN,FLYARYSTAN
AYR,FLIGHT TRAINING EUROPE S.L.
AYT,AYIT AVIATION & TOURISM
AYU,"YUHI AIR LINES CO., LTD"
AYV,"AIRWAYS SERVICES & SUPPORT AS&S, C.A."
AZA,ALITALIA SOCIETÀ AEREA ITALIANA S.P.A.
AZB,ZAMBIA AIRWAYS (2014) LIMITED
AZD,ZIMEX AVIATION AUSTRIA
AZE,"ARCUS AIR GMBH & CO. KG, ZWEIBRUECKEN"
AZF,AIR ZERMATT AG
AZG,SILK WAY WEST AIRLINES
AZH,SW HELICOPTER SERVICES
AZI,ASTRA AIRLINES
AZJ,ZAS AIR
AZM,AZMAN AIR SERVICES LTD.
AZN,AMASZONAS S.A.
AZO,JSC AZIMUTH AIRLINES
AZP,COMPANIA DE AVIACION PARAGUAYA S.A.
AZQ,SILK WAY AIRLINES
AZR,ZENITH AIR CC
AZS,AVIACON ZITOTRANS
AZT,"AZIMUT, S.A."
AZU,AZUL LINHAS AEREAS BRASILEIRAS S/A
AZV,AZUR AIR
AZW,AIR ZIMBABWE
AZX,AIR MAX AFRICA
AZY,"AZTEC WORLDWIDE AIRLINES, INC. (FT. LAUDERDALE, FL)"
AZZ,AZZA TRANSPORT CO. LTD
BAA,BALKAN AGRO AVIATION
BAB,BAHRAIN AIR
BAC,"EAST AERO SERVICE, LLC"
BAD,"FLIGHT DEVELOPMENT, LLC (WATKINS, CO)"
BAF,BELGIAN AIR FORCE
BAG,BIRDBASE AVIATION GMBH
BAH,BAHRAIN ROYAL FLIGHT (BAH)
BAI,"PUEBLO BONITO AIR, S.A. DE C.V."
BAJ,"BAKER AVIATION, INC. (KOTZEBUE, AK)"
BAK,"BLACKHAWK AIRWAYS, INC. (JANESVILLE, WI)"
BAL,BALMORAL CENTRAL CONTRACTS
BAN,BRITISH ANTARCTIC SURVEY
BAO,"BADEN AIRCRAFT OPERATION GMBH, RHEINMUENSTER"
BAP,TRANS INTERNATIONAL EXPRESS AVIATION
BAQ,BALTIC JET CARGO
BAR,ABU DHABI AVIATION
BAS,AERO SERVICES
BAT,BRITISH AIRWAYS (BA) LTD
BAV,BAMBOO AIRWAYS
BAW,BRITISH AIRWAYS
BAX,BEST AERO HANDLING LTD
BAY,BRAVO AIRWAYS
BBA,BOMBARDIER INC.
BBB,BLACKBIRD AIR A/S
BBC,BANGLADESH BIMAN
BBE,ABABEEL AVIATION CO. LTD
BBG,BLUE BIRD AIRWAYS
BBI,X2 AIR LIMITED
BBJ,BLUE AIR LINES
BBK,B&K AERO KZ LLP
BBL,BBN AIRLINES INDONESIA
BBN,CAA AIRWORTHINESS DIVISION
BBO,HELISUL
BBQ,"EASTERN AIR EXPRESS, LLC"
BBR,"SANTA BARBARA AIRLINES, C.A."
BBT,BBN AIRLINES
BBW,BB AIRWAYS PVT. LIMITED
BBX,BEL AIR AVIATION A/S
BBY,BLUE BIRD AVIATION
BBZ,BLUE BIRD AVIATION LTD
BCA,"BLUE SKY AVIATION CO., LTD"
BCB,CARIB EXPRESS
BCF,B.A.C.H. FLUGBETRIEBSGES.M.B.H.
BCG,MANAGEMENT UNIT OF NORTH SEA MATHEMATICAL MODELS (RBINS-MUMM)
BCH,"PHILLIPS AIR (DEL RIO, TX)"
BCI,BLUE ISLANDS
BCJ,BLUE JET CHARTERS SP. Z.O.O.
BCK,"PRIORITY AVIATION COMPANY, INC (KANSAS CITY, MO)"
BCN,OCEAN AIR
BCO,AIRBUS BELUGA TRANSPORT
BCP,SYBAJET SAN MARINO SRL
BCR,BRITISH CHARTER
BCS,"EUROPEAN AIR TRANSPORT, LEIPZIG"
BCT,BRINGER AIR CARGO TAXI AEREO LTDA.
BCU,BOND AIR CARGO
BCV,"TRANSPORTES INTERILHAS DE CABO VERDE, SOCIEDADE UNIPESSOAL, SA. TICV"
BCY,CITYJET
BDA,BLUE DART AVIATION LTD
BDF,SURVEILLANCE AUSTRALIA P/L
BDG,"MISSISSIPPI STATE UNIVERSITY, MS"
BDH,BIRD DOG AVIATION CC.
BDI,BENAIR A/S
BDJ,"DEER JET (BEIJING) CO., LTD."
BDN,BOSCOMBE DOWN DERA
BDR,BADR AIRLINES
BDS,SOUTH ASIAN AIRLINES LTD
BDV,ABERDAIR AVIATION LIMITED
